,arabic,english
4817,لا يمكنها عزف البيانو بتلك المهارة.,She can't play piano very well.
4818,اتصلت بي بعد الظهر.,She called me in the afternoon.
4819,أحضرت لي كأساً من الشاي.,She brought a cup of tea to me.
4820,اشترت لعبة لطفلها.,She bought a toy for her child.
4821,سألتني إلى أين سأذهب.,She asked me where I was going.
4822,سألت سؤالاً مهماً.,She asked a very good question.
4823,و كأنها لديها صداع.,She appears to have a headache.
4824,اتهمتني بالكذب.,She accused me of being a liar.
4825,اتهمتني بأني كاذب.,She accused me of being a liar.
4826,قابلت سالي هاري في المحطة.,Sally met Harry at the station.
4827,أعد الكتاب إلى مكانه.,Put the book back where it was.
4828,زد بعض الحطب إلى النار.,Put some more wood on the fire.
4829,احكي لي عن رحلة سفرك من فضلك.,Please tell me about your trip.
4830,بلغ جون أني اتصلت من فضلك.,Please tell John that I called.
4831,من فضلك خذني إلى المستشفى.,Please take me to the hospital.
4832,ساعدني في تنظيف البيت من فضلك.,Please help me clean the house.
4833,اجعل أحداً آخر يقوم بذلك إذا سمحت.,Please have someone else do it.
4834,من فضلك أضف اسمي إلى اللائحة.,Please add my name to the list.
4835,إن لعب كرة المضرب ممتع.,Playing tennis is a lot of fun.
4836,الفيزياء هي مادتي المفضلة.,Physics is my favorite subject.
4837,لربما جاءت غداً.,Perhaps she will come tomorrow.
4838,تأسست مدرستنا عام ۱۹۹۰م.,Our school was founded in 1990.
4839,ضاعت إحدى حقائبي.,One of my suitcases is missing.
4840,عدد لا يستهان به من الناس يملكون سيارتين.,Quite a few people have two cars.
4841,أعطاني عمي سيارته.,My uncle gave me his car.
4842,يعيش عمي قرب المدرسة.,My uncle lives near the school.
4843,يسكن عمي في شقة.,My uncle lives in an apartment.
4844,يعيش عمي في شقة سكنية.,My uncle lives in an apartment.
4845,ابني الآن في المرحلة الثانوية.,My son entered high school.
4846,ترتاد أختي الجامعة.,My sister goes to a university.
4847,تدرس أختي في الجامعة.,My sister goes to a university.
4848,يعيش أبويّ في القرية.,My parents live in the country.
4849,تعزف أمي على البيانو بمهارة.,My mother plays the piano well.
4850,أمي تعزف البيانو بمهارة.,My mother plays the piano well.
4851,خط أمي جميل.,My mother has good handwriting.
4852,أمي لا يمكنها ركوب الدراجة.,My mother can't ride a bicycle.
4853,لا تستطيع أمي أن تركب الدراجة.,My mother can't ride a bicycle.
4854,زوجي طباخ ماهر.,My husband is a very good cook.
4855,جعلني أبي أغسل السيارة.,My father made me wash the car.
4856,أرغمني أبي على غسل السيارة.,My father made me wash the car.
4857,يذهب معي كلبي إلى أي مكان أذهب إليه.,My dog goes everywhere with me.
4858,يرافقني كلبي إلى أي مكان.,My dog goes everywhere with me.
4859,يرافقني كلبي في كل مكان أذهب إليه.,My dog goes everywhere with me.
4860,معدل الكلسترول في دمي عالٍ.,My cholesterol levels are high.
4861,معدلات الكولسترول في دمي عالية.,My cholesterol levels are high.
4862,يحب أخي مشاهدة أفلام الرعب.,My brother likes horror movies.
4863,أخي صغير لكنه قوي.,My brother is small but strong.
4864,أخي صغير البنية إلا أنه قوي.,My brother is small but strong.
4865,حقيبتي مليئة بالأوراق.,My briefcase is full of papers.
4866,كان جبل فوجي مغطى بالثلج.,Mt. Fuji was covered with snow.
4867,السيدة وود طباخة جيدة.,Mrs. Wood was a very good cook.
4868,أخذت مايوكو قضمة من تفاحتي.,Mayuko took a bite of my apple.
4869,هل لي أن أخرج لمشاهدة فيلم الليلة؟,May I go to the movies tonight?
4870,دعني أساعدك في عملك.,Let me help you with your work.
4871,لنغني بالإنجليزية.,Let's sing the song in English.
4872,لنغني هذه الأغنية بالإنجليزية.,Let's sing the song in English.
4873,لنلعب كرة المضرب بعد المدرسة.,Let's play tennis after school.
4874,لنلعب التنس بعد انتهاء الدراسة.,Let's play tennis after school.
4875,لنتقابل هنا مرة أخرى في الغد.,Let's meet here again tomorrow.
4876,كوالالمبور تستحق الزيارة.,Kuala Lumpur is worth visiting.
4877,احفظ المال في مكان آمن.,Keep the money in a safe place.
4878,ذهب جون إلى فرنسا بالأمس.,John left for France yesterday.
4879,غادر جون إلى فرنسا البارحة.,John left for France yesterday.
4880,رحل جون إلى فرنسا البارحة.,John left for France yesterday.
4881,ورث جون ثروة كبيرة.,John inherited a large fortune.
4882,أحب جون و ماري بعضهما.,John and Mary loved each other.
4883,جون و ماري أحبا بعضهما البعض.,John and Mary loved each other.
4884,رأيت أنا و جون أسداً البارحة.,Joe and I saw a lion yesterday.
4885,هناك بعض الأولاد في المنتزه.,There are some boys in the park.
4886,هناك الكثير من الكتب في غرفتي.,There are many books in my room.
4887,يوجد الكثير من المعابد في كيوتو.,There are many shrines in Kyoto.
4888,اعتقلت الشرطة المشتبه به.,The police arrested the suspect.
4889,لم يبقَ إلا القليل من الحليب.,There's only a little milk left.
4890,لم يعد هناك إلا القليل من الحليب.,There's only a little milk left.
4891,يبدأ عرض الفلم الساعة العاشرة.,The movie starts at ten o'clock.
4892,المكتبة في الطابق الرابع.,The library is on the 4th floor.
4893,خططت العصابة لسرقة.,The gang was planning a robbery.
4894,يحب أهل أوروبا شرب الخمر.,Europeans like to drink wine.
4895,ذلك الفستان يبدو جميلاً عليك.,That dress looks good on you.
4896,هاجم الكلب الولد الصغير.,The dog attacked the little boy.
4897,تهجم الكلب على الصغير.,The dog attacked the little boy.
4898,القطة نائمة على الأريكة.,The cat is sleeping on the sofa.
4899,الزجاجة ملئى بالماء.,The bottle is filled with water.
4900,الدراجة التي بجانب الباب هي دراجتي.,The bicycle by the door is mine.
4901,تلك السيدة أكبر مني بكثير.,That woman is much older than I am.
4902,السناجب سريعة الحركة.,Squirrels move quickly.
4903,كتبت كتاباً عن الطيور.,She wrote a book about birds.
4904,سيصبح عمرها سبعة عشر عاماً السنة المقبلة.,She will be seventeen next year.
4905,كانت مشغولة بإنهاء واجباتها.,She was busy doing her homework.
4906,سافرت حول العالم.,She traveled all over the world.
4907,ترجمت النص حرفياً.,She translated it word for word.
4908,ترجمت النص حرفياً.,She translated the text literally.
4909,مزقت الرسالة تمزيقاً.,She tore the letter into pieces.
4910,أزاحت غطاء الصندوق.,She took off the lid of the box.
4911,ركبت سيارة أجرة متجهة إلى المستشفى.,She took a taxi to the hospital.
4912,أخبرتنا بأن الطريق مغلق.,She told us the road was closed.
4913,طلبت منا ألا نصدر صوتاً.,She told us not to make a noise.
4914,أخبرتني بأنها تعرف أخي.,She told me she knew my brother.
4915,إنها تدرّس القراءة و الكتابة.,She teaches reading and writing.
4916,بقيت في المنزل طوال اليوم.,She stayed in the house all day.
4917,أعطتني جولة في الحرم الجامعي.,She showed me around the campus.
4918,رفضت المال.,She refused to accept the money.
4919,تظاهرت بأنها مريضة.,She pretended that she was sick.
4920,أحياناً أتساءل إذا ما كان العالم بأسره موجود فقط في خيال أحدٍ ما، و أنه هو من يتخيل وجودنا. من يعلم، ربما كان ذلك الشخص أنا.,"Sometimes I wonder if this world is just in someone's head, and he dreams us all into existence. Perhaps it's even me."
4921,كل الرجال سواسية أمام القانون ، و أمام امرأة فاتنة.,All men are equal before the law... and when placed before a beautiful woman.
4922,أحدهم سرق حقيبتي.,Somebody has stolen my suitcase.
4923,إنها أكبر مني بسنتين.,She is two years older than you.
4924,إنها تبحث عن مفاتيح سيارتها.,She is looking for her car keys.
4925,إنها ماهرة في تحدث الإنجليزية.,She is good at speaking English.
4926,مر على موتها عشر سنين.,She has been dead for ten years.
4927,إنها ميتة منذ عشر سنوات.,She has been dead for ten years.
4928,لديها ولد و ابنتين.,She has a son and two daughters.
4929,غادرت المكتب منذ فترة.,She has already left the office.
4930,لم يكن لديها ما تفعله بالأمس.,She had nothing to do yesterday.
4931,وصلت إلى المحطة الساعة السابعة.,She got to the station at seven.
4932,انتهت من قراءة الرسالة.,She finished reading the letter.
4933,لقد أنهت قراءة الرسالة.,She finished reading the letter.
4934,إنها لا تأكل إلا الخضار.,She eats nothing but vegetables.
4935,لم تعد تسكن هناك.,She doesn't live there any more.
4936,لم ترد أن تتدخل.,She didn't want to get involved.
4937,نظفت غرفتها في عجلة.,She cleaned her room in a hurry.
4938,رتبت غرفتها بسرعة.,She cleaned her room in a hurry.
4939,اشترت رطلين من الزبدة.,She bought two pounds of butter.
4940,اشترت رطليْ زبدة.,She bought two pounds of butter.
4941,طلبت منا أن نتركها وحدها.,She asked us to leave her alone.
4942,طلبت منا أن نتركها و شأنها.,She asked us to leave her alone.
4943,طلبت مني أن أوقظها عند السادسة.,She asked me to wake her at six.
4944,سألتني إذا كنت على ما يرام.,She asked me if I was all right.
4945,سألتني إن كنت بخير.,She asked me if I was all right.
4946,دائماً ما تبقي غرفتها نظيفة.,She always keeps her room clean.
4947,تحافظ على غرفتها مرتبة دوماً.,She always keeps her room clean.
4948,اتهمتني بأني كذبت.,She accused me of telling a lie.
4949,كانت تعمل طوال اليوم.,She's been working all day long.
4950,إنها ماهرة جداً.,She is very clever.
4951,إنها في غاية المهارة.,She is very clever.
4952,سيذهب أستاذنا إلى الولايات المتحدة الشهر القادم.,Our teacher will go to the USA next month.
4953,سيسافر معلمنا إلى أمريكا الشهر المقبل.,Our teacher will go to the USA next month.
4954,أعد الكتاب حيث وجدته.,Put the book where you found it.
4955,أعد الكتاب إلى مكانه الذي وجدته فيه.,Put the book where you found it.
4956,يجب على الشرطة ألا تقبل الرشوة.,Police shouldn't take bribes.
4957,على الشرطة ألا تقبل الرشاوي.,Police shouldn't take bribes.
4958,أخبرني من فضلك إلى أي مكان أذهب بعد ذلك.,Please tell me where to go next.
4959,بلغها أن تعاود الإتصال بي من فضلك.,Please tell her to call me back.
4960,من فضلك أبلغها أن تتصل بي.,Please tell her to call me back.
4961,من فضلك أغلق الباب خلفك.,Please shut the door behind you.
4962,أرني ذراعك المجروح من فضلك.,Please show me your injured arm.
4963,أرسل إلينا المزيد من المعلومات إذا تكرمت.,Please send us more information.
4964,من فضلك اتصل بي قبل أن تأتي.,Please phone me before you come.
4965,دعني آخذ صورة لك إذا سمحت.,Please let me take your picture.
4966,من فضلك انقر على الباب قبل أن تدخل.,Please knock before you come in.
4967,من فضلك ساعدني في حل واجبي.,Please help me with my homework.
4968,أعطني كسرة خبز من فضلك.,Please give me a piece of bread.
4969,صحح نطقي من فضلك.,Please correct my pronunciation.
4970,من فضلك تعال بأسرع ما يمكن.,Please come as soon as possible.
4971,دهست شاحنة كلبنا.,Our dog was run over by a truck.
4972,أتوا هي عاصمة كندا.,Ottawa is the capital of Canada.
4973,فهمني القليل.,Only a few people understood me.
4974,كل من فهمني هم حفنة من الناس.,Only a few people understood me.
4975,لا يشرب أي من أصدقائي القهوة.,None of my friends drink coffee.
4976,كل أصحابي لا يشربون القهوة.,None of my friends drink coffee.
4977,سيصبح ابني معلماً.,My son is going to be a teacher.
4978,مكتبي في الطابق الخامس.,My office is on the fifth floor.
4979,أمي تقرأ مجلة.,My mother is reading a magazine.
4980,أمي ليست موجودة في المنزل طيلة الوقت.,My mother is not always at home.
4981,تكره أمي كتابة الرسائل.,My mother hates writing letters.
4982,ماتت أمي عندما كنت صغيراً.,My mother died when I was a kid.
4983,اشترت لي أمي فستاناً جديداً.,My mother bought me a new dress.
4984,يقع بيتي بالقرب من نقطة انتظار الحافلة.,My house is close to a bus stop.
4985,هوايتي جمع اللعب القديمة.,My hobby is collecting old toys.
4986,هوايتي هي صنع مجسمات للطائرات.,My hobby is making model planes.
4987,تعيش جدتي وحدها.,My grandmother lives by herself.
4988,وُلد جدي عام عشرين ميلادية.,My grandfather was born in 1920.
4989,ولد جدي عام ألف و تسعمئة و عشرين للميلاد.,My grandfather was born in 1920.
4990,ولد جدي عام ١٩٢٠م.,My grandfather was born in 1920.
4991,جدي من أهل أوساكا.,My grandfather comes from Osaka.
4992,جدي من أوساكا.,My grandfather comes from Osaka.
4993,قام أصدقائي بدعوتي إلى العشاء.,My friends invited me to dinner.
4994,دعاني أصحابي على العشاء.,My friends invited me to dinner.
4995,يسافر أبي إلى الخارج أحياناً.,My father sometimes goes abroad.
4996,إن أبي غاضب مني جداً.,My father is very angry with me.
4997,يحب أبي البيتزا كثيراً.,My father likes pizza very much.
4998,لم يسبق لأبي أن سافر إلى الخارج.,My father has never been abroad.
4999,لم يسافر أبي إلى الخارج من قبل.,My father has never been abroad.
5000,لم يجرب أبي السفر إلى الخارج قط.,My father has never been abroad.
5001,يتبعني كلبي حيثما ذهبت.,My dog follows me wherever I go.
5002,رئيسي في العمل يكبرني عمراً بمرتين.,My boss is twice as old as I am.
5003,يقود أبي السيارة إلى عمله.,My father drives to work.
5004,جلبت لي عمتي بعض الأزهار.,My aunt brought me some flowers.
5005,تأكل مايوكو الخبز على الفطور.,Mayuko eats bread for breakfast.
5006,أتسمح لي أن أشاركك الجلوس على الطاولة؟,May I share this table with you?
5007,هل لي أن آتي و أقابلك غداً؟,May I come and see you tomorrow?
5008,هل يمكنني أن أطرح بعض الأسئلة؟,May I ask a couple of questions?
5009,لربما أصبح معلماً ماهراً.,Maybe he will be a good teacher.
5010,الرياضيات مادة صعبة بالنسبة لي.,Mathematics is difficult for me.
5011,الكثير من المشاهير يأتون إلى هنا.,Lots of famous people come here.
5012,اسمح لي أن أقيس ضغط دمك.,Let me take your blood pressure.
5013,أمي لديها رخصة قيادة و لكنها لا تقود سيارة.,"My mother has a driver's license, but she doesn't drive."
5014,أبي ماهر في قيادة السيارة.,My father drives very well.
5015,لا يسمح لي أبي بقيادة السيارة.,My father doesn't let me drive a car.
5016,هلّا أوصلتني إلى المستشفى؟,Will you drive me to the hospital?
5017,إنها تتعلم قيادة السيارة.,She is learning how to drive a car.
5018,يمكنها أن تقود السيارة.,She can drive a car.
5019,إنه كبير بما فيه الكفاية ليقود سيارة.,He is old enough to drive.
5020,إنه لا يعرف كيف يقود سيارة.,He does not know how to drive a car.
5021,إنه يقود سيارته الخاصة.,He drives his own car.
5022,أخبرني ألّا أقود بسرعة عالية.,He told me not to drive too fast.
5023,لم يسمح لي أن أقود سيارته إطلاقاً.,He wouldn't allow me to drive his car.
5024,بإمكانه قيادة السيارة.,He can drive a car.
5025,إنه ماهر في القيادة.,He is good at driving.
5026,إنه يقود بسرعة عالية.,He drives very fast.
5027,عادةً ما يقود سيارة أبيه.,He often drives his father's car.
5028,اعتقل لقيادته و هو سكران.,He was arrested for drunken driving.
5029,قيادة السيارة أمر ممتع.,It is a lot of fun to drive a car.
5030,قيادة السيارة أمر سهل للغاية.,Driving a car is really very simple.
5031,قيادة السيارة أمر في غاية البساطة حقاً.,Driving a car is really very simple.
5032,إني أتعلم القيادة.,I've been learning to drive.
5033,هل لك أن توصلني إلى البيت؟,Will you drive me home?
5034,تبادلنا الأدوار في القيادة.,We took turns driving.
5035,طلبت منه أن يوصلني إلى المنزل.,I asked him to drive me home.
5036,طلبت منه ألا يقود بسرعة.,I asked him not to drive so fast.
5037,لم أتعلم كيف أقود السيارة بعد.,I still haven't learned to drive a car.
5038,أستطيع قيادة السيارة.,I am able to drive a car.
5039,أريد أن أقود.,I want to drive.
5040,لا أعرف كيف أقود سيارة.,I do not know how to drive a car.
5041,يستطيع أخي أن يقود سيارة.,My brother can drive a car.
5042,هل تستطيع أمك أن تقود سيارة؟,Can your mother drive a car?
5043,هل أوصلتها إلى المنزل ليلة الأمس؟,Did you drive her home last night?
5044,هل تستطيع أن تقود سيارة؟,Can you drive?
5045,سأوصلك إلى المنزل بالسيارة.,I'll drive you home.
5046,هل سمح لك عمك أن تقود سيارته؟,Did your uncle let you drive his car?
5047,هل يستطيع أخوك أن يقود سيارة؟,Can your brother drive a car?
5048,تبعد مسافة عشر دقائق بالسيارة عن هنا.,It's about a ten-minute drive from here.
5049,إن جيم يتعلم القيادة.,Jim is learning how to drive a car.
5050,القيادة بسرعات عالية خطر.,Driving too fast is dangerous.
5051,اعتقله الشرطي لقيادته تحت تأثير الكحول.,The policeman arrested him for drunken driving.
5052,إنه خطر أن تقود بتهور.,It is dangerous to drive so fast.
5053,قد بحذر من فضلك.,Please drive carefully.
5054,سأوصلك إلى البيت.,I'll drive you home.
5055,سأعلمك كيف تقود السيارة.,I'll teach you how to drive a car.
5056,سأعلمك القيادة.,I'll teach you how to drive a car.
5057,ذهبنا إلى هوكايدو الصيف الماضي.,Last summer we went to Hokkaido.
5058,سافرت إلى إيطاليا الصيف الفائت.,Last summer I traveled to Italy.
5059,البارحة كسر جون النافذة.,John broke the window yesterday.
5060,ليست اليابان بحجم كندا.,Japan is not as large as Canada.
5061,حان وقت النوم.,It's bedtime.
5062,عليك أن تقابله.,You should meet him.
5063,ذهبت إلى كيوتو مرتين.,I've gone to Kyoto twice.
5064,يبدو أن الحافلة تأخرت عن الوصول.,"Apparently, the bus is late."
5065,أنت لا يمكنك تحدث الإنجليزية، صحيح؟,"You don't speak English, do you?"
5066,خدعها.,He fooled her.
5067,لدي صداع في رأسي.,I've got a headache.
5068,ألا يمكنك تكلم الإنجليزية؟,Can't you speak English?
5069,سأكون هناك غداً.,I will be there tomorrow.
5070,على الرغم من ثرائها إلا أنها لا تبدو سعيدة.,"For all her wealth, she does not look happy."
5071,لم أكن لأفعل ذلك من دون مساعدتك.,I couldn't have done it without you. Thank you.
5072,كم عدد القطط الموجودة في هذا المنزل ؟,How many cats are there in this house?
5073,إن ما قاله لا يجدي نفعاً .,What he said counts for nothing.
5074,اقطع تلك الشجرة الميتة ، وإلا فإنها ستقع فوق منزلك .,"Cut down that dead tree, or it will fall down on your house."
5075,لا أحد يعلم حقاً كيف يبدو الطبق الطائر .,No one really knows what a UFO looks like.
5076,إنه لم يعلم بذلك .,He didn't know that.
5077,حكى لنا قصة شيقة.,He told us an interesting story.
5078,كلنا مقتنعون بأنه مذنب.,We are all convinced that he's guilty.
5079,جميعنا متأكدون من براءته.,We are all convinced of his innocence.
5080,لا تلجأ إلى العنف.,Don't resort to violence.
5081,يجب علينا أن نتخلص من العنف .,We must do away with violence.
5082,الأمر متروك للحكومة لاتخاذ إجراء بشأن العنف.,It is up to the government to take action on violence.
5083,لماذا لم تستطع النوم ليلة أمس ؟,Why couldn't you sleep last night?
5084,إحدى أمنياتي هي أن أتعلم اللغة الآيسلندية.,One of my dreams is to learn Icelandic.
5085,التغيير هو الشيء الوحيد الذي لا يتغير.,Change is the only constant.
5086,التغيير هو الشيء الوحيد الذي يظل ثابتاً.,Change is the only constant.
5087,هذه هي المستشفى التي ولدت فيها.,This is the hospital which I was born in.
5088,حقاً؟ لماذا؟,Really? Why?
5089,كتب كتاباً عن الصين.,He wrote a book on China.
5090,أعلنت القوات الأمريكية انتهاء مهمتها في العراق.,American forces announced the completion of their mission in Iraq.
5091,ترجم ما تحته خط.,Translate the underlined sentences.
5092,ترجم الجمل التي تحتها خط.,Translate the underlined sentences.
5093,لا يمكنني فهم ما تعنيه هذه الجملة بالضبط.,I can't get at the exact meaning of the sentence.
5094,ألف جملة لكلٍ من هذه الكلمات.,Make a sentence with each of these words.
5095,أمضيت ساعتين و أنا أحفظ هذه الجملة.,It took me two hours to memorize this sentence.
5096,من الأفضل أن تعيد كتابة هذه الجملة.,You should rewrite this sentence.
5097,هذه الجملة ليس لها أي معنى.,This sentence doesn't make sense.
5098,"لقد أضفت جملة أخرى و أضفت لها علامة ""قديم"". ما الذي تريده بعد ذلك، أن أعطيك دمي؟","I've added an alternative sentence and I've tagged it as 'old fashioned'. What more do you want, blood?"
5099,يقولون بأنه لن يرجع.,They say that he will never return.
5100,هل لي ببعض الأسئلة؟,May I ask some questions?
5101,هل لي ببعض الأسئلة؟,May I ask a couple of questions?
5102,أيمكنني أن أطرح بعض الأسئلة؟,May I ask some questions?
5103,أركض كل يوم.,I run every day.
5104,إنه طبيب.,He is a doctor.
5105,كم ولداً لديك؟,How many kids do you have?
5106,كم ابناً عندك؟,How many kids do you have?
5107,صداقتك تعني لي الكثير.,Your friendship means a lot to me.
5108,يمكنك الذهاب إلى المحطة بالحافلة.,You can go to the station by bus.
5109,بإمكانك الوصول إلى المحطة عن طريق الحافلة.,You can go to the station by bus.
5110,يمكنك أنت تقول أي شيء تريد.,You can say whatever you want to.
5111,أنت في حال أفضل من حالي.,You're in better shape than I am.
5112,ستجد أن هذه الخريطة مفيدة للغاية.,You'll find this map very useful.
5113,هلّا أغلقت النافذة من فضلك؟,Would you please shut the window?
5114,أيمكنك أن تقفل الباب؟,Would you mind shutting the door?
5115,هل تريدني أن أستدعي لك سيارة أجرة؟,Would you like me to call a taxi?
5116,هل الساعة الثالثة توقيت مناسب؟,Would three o'clock be all right?
5117,ادرس بجد كي لا ترسب.,Study hard so you don't fail.
5118,هل ستحضر حفلة الليلة؟,Will you go to the party tonight?
5119,هل ستذهب إلى الحفلة الليلة؟,Will you go to the party tonight?
5120,هل ستذهب إلى أمريكا السنة القادمة؟,Will you go to America next year?
5121,هل سنلحق بالقطار؟,Will we be in time for the train?
5122,هل ستذهب إلى أمريكا العام المقبل؟,Will she go to America next year?
5123,هل سيتمكن من القدوم غداً؟,Will he be able to come tomorrow?
5124,لمَ لا تجلس و تستريح؟,Why don't you sit down and relax?
5125,لمَ لا نأكل طعام الغداء معاً؟,Why don't we have lunch together?
5126,من تلك المرأة التي ترتدي فستاناً وردياً؟,Who is the woman dressed in pink?
5127,من يعزف على البيانو؟,Who is the man playing the piano?
5128,من ذلك الرجل الذي يعزف على البيانو؟,Who is the man playing the piano?
5129,من مالك تلك الحقيبة؟,Who does this suitcase belong to?
5130,سأذهب بغض النظر عن مجيئه.,"Whether he comes or not, I'll go."
5131,إلى أين تفضل أن تذهب أولاً؟,Where would you like to go first?
5132,في أي مكان في النمسا تربيت؟,Where in Austria did you grow up?
5133,أين ستأكل طعام الغداء؟,Where are you going to eat lunch?
5134,متى غيرت عنوانك؟,When did you change your address?
5135,ما الذي كنت تفعله آن ذاك؟,What were you doing at that time?
5136,متى تخلد إلى النوم عادةً؟,What time do you usually go to bed?
5137,متى تنام في العادة؟,What time do you usually go to bed?
5138,متى ستغادر طائرتك؟,What time does your plane leave?
5139,في أي وقت ستقلع طائرتك؟,What time does your plane leave?
5140,ما ميعاد إقلاع طائرتك؟,What time does your plane leave?
5141,ما قلته ليس له أي معنى.,What she said did not make sense.
5142,ما قلته ليس له أي معنى.,What you said has no meaning.
5143,أي فصل من فصول السنة تحب أكثر؟,What season do you like the best?
5144,ما الذي جاء بك إلى هنا باكراً هكذا؟,What made you come here so early?
5145,ما مشكلة سيارتك؟,What is the matter with your car?
5146,ما هو برنامجك التلفزيوني المفضل؟,What is your favorite TV program?
5147,ما معنى هذه الكلمة؟,What is the meaning of this word?
5148,ما عرض هذا الشارع؟,What's the width of this road?
5149,ما يحتاجه حقاً هو وظيفة جيدة.,What he needs most is a good job.
5150,ما رأيك بمعطفي الجديد؟,What do you think of my new coat?
5151,ما رأيك أن تأخذ استراحة؟,What do you say to taking a rest?
5152,ما الذي تفعله بوقت فراغك؟,What do you do in your free time?
5153,ما الشهادة التي تخرجت بها من الجامعة؟,What did you major in at college?
5154,أي تخصص درست في الجامعة؟,What did you major in at college?
5155,ما المجال الذي قمت بدراسته في الجامعة؟,What did you major in at college?
5156,ماذا فعلت بتلك الكتب؟,What did you do with those books?
5157,ما الذي فعلته بالكتب؟,What did you do with those books?
5158,ماذا فعلت بتلك الكاميرا؟,What did you do with that camera?
5159,ما الذي فعلته بآلة التصوير تلك؟,What did you do with that camera?
5160,ماذا فعلت في إجازتك؟,What did you do on your vacation?
5161,ماذا ستفعل بها؟,What are you going to do with it?
5162,ماذا ستفعل الليلة؟,What are you going to do tonight?
5163,سنصل إلى لندن قبل حلول الليل.,We will reach London before dark.
5164,سنلعب كرة القدم بعد المدرسة.,We will play soccer after school.
5165,سنلعب كرة القدم بعد المدرسة.,We will play football after school.
5166,ذهبنا لمشاهدة فيلم ليلة البارحة.,We went to the movies last night.
5167,إنها تمطر مجدداً!,It's raining again!
5168,أريد حياة أبدية!,I want eternal life!
5169,أريد أن أعيش إلى الأبد!,I want eternal life!
5170,ليس هناك أي غيوم في السماء.,There's not a cloud in the sky.
5171,حفرت حفرة.,I dug a pit.
5172,غضب.,He got angry.
5173,أحب بلدي.,I love my motherland.
5174,قاس الطبيب نبضه.,The doctor took his pulse.
5175,خرجنا بالرغم من هطول المطر.,We went out in spite of the rain.
5176,شاهدنا مباراة كرة القدم على التلفاز.,We watched the soccer game on TV.
5177,هل تدخن؟,Do you smoke?
5178,استمر النقاش في وزارة الخارجية حول سياسة تقبل و استيعاب الأجانب في المجتمع الياباني.,Discussion continued in the Foreign Ministry over social integration and the policy of accepting foreigners in Japan.
5179,سكنّا هناك ثلاثة أشهر.,We stayed there for three months.
5180,بقينا هناك لمدة ثلاثة شهور.,We stayed there for three months.
5181,مشينا ست كيلومترات.,We walked for about 6 kilometers.
5182,كان من المفترض أن نكون حذرين أكثر.,We should have been more careful.
5183,شاهدنا فلماً مضحكاً يوم الأحد الماضي.,We saw a funny movie last Sunday.
5184,جلسنا وسط الغرفة.,We sat in the center of the room.
5185,قعدنا في وسط الحجرة.,We sat in the center of the room.
5186,علينا أن نلغي رحلتنا إلى اليابان.,We must cancel our trip to Japan.
5187,نعيش في بيت فيه ثلاثة غرف نوم.,We live in a three-bedroom house.
5188,ما زال لدينا الكثير من الطعام.,We still have a lot of food left.
5189,عشنا في أوساكا ست سنوات.,We have lived in Osaka six years.
5190,فرصتنا في الفوز ضئيلة.,We have little chance of winning.
5191,نأكل طعام الفطور في المطبخ.,We have breakfast in the kitchen.
5192,زرنا طوكيو مرات عديدة.,We have been to Tokyo many times.
5193,لم يكن لدينا خيار إلا الذهاب إلى هناك.,We had no choice but to go there.
5194,تمتعنا بالسباحة في النهر.,We enjoyed swimming in the river.
5195,أمضينا وقتاً ممتعاً و نحن نلعب الشطرنج.,We had a good time playing chess.
5196,أمضينا وقتاً ممتعاً و نحن نلعب الورق.,We had a good time playing cards.
5197,استيقظنا في الرابعة صباحاً.,We got up at four in the morning.
5198,شعرنا بالبيت يهتز قليلاً.,We felt the house shake a little.
5199,عدنا بالمرور من خلال هونج كونج.,We came back by way of Hong Kong.
5200,وصلنا إلى المكتب في الوقت المطلوب.,We arrived at the office on time.
5201,سنذهب إلى حفلة رقص غداً.,We are going to a dance tomorrow.
5202,اتفقنا على توزيع مهام تنظيف البيت فيما بيننا.,We agreed to share the housework.
5203,نقبل الدفع بأي نوع من بطاقات الإئتمان المعروفة.,We accept all major credit cards.
5204,إننا متزوجين منذ خمس سنين.,We've been married for five years.
5205,سيكون لدينا اختبار اليوم.,We're going to have a test today.
5206,أكان الجو غائماً في طوكيو البارحة؟,Was it cloudy in Tokyo yesterday?
5207,هل كانت سماء طوكيو ملبدة بالغيوم البارحة؟,Was it cloudy in Tokyo yesterday?
5208,قلة النوم مضر بصحتك.,Lack of sleep is bad for your health.
5209,ربطة العنق هذه لا تليق ببزتي.,This tie doesn't go with my suit.
5210,هذا الفلم يستحق المشاهدة لمرة ثانية.,This movie is worth seeing again.
5211,هذا ما وجدته في الكهف.,This is what I found in the cave.
5212,هذه هي الكاميرا الوحيدة لدي.,This is the only camera I've got.
5213,تلك الدمية هدية من عمتي.,This doll is a gift from my aunt.
5214,هذه الدمية هدية من خالتي.,This doll is a gift from my aunt.
5215,هذا المكتب يأخذ مساحة كبيرة.,This desk takes up too much room.
5216,طبع هذا الكتاب في انجلترا.,This book was printed in England.
5217,يصعب علي قراءة هذا الكتاب.,This book is hard for me to read.
5218,بالنسبة لي، هذا الكتاب صعب القراءة.,This book is hard for me to read.
5219,هذا الكتاب سهل علي قراءته.,This book is easy for me to read.
5220,يحتوي هذا الكتاب على صور كثيرة.,This book contains many pictures.
5221,هذا الكتاب ملكٌ للمكتبة.,This book belongs to the library.
5222,سيتزوجا الشهر القادم.,They will get married next month.
